id,category
1,"Song by a boy band"
2,"Song by a girl group"
3,"Song by a sibling band"
4,"Song by a one-hit wonder"
5,"Song by an artist with only one name"
6,"Song by an artist with a stage name"
7,"Song by an artist under 21 when released"
8,"Song by an artist over 60 when released"
9,"Song by a supergroup"
10,"Song by a duo"
11,"Song by a trio"
12,"Song by a band with more than five members"
13,"Song by an artist from New York"
14,"Song by an artist from Puerto Rico"
15,"Song by an artist from outside the U.S."
16,"Song by an artist singing in a language you do not speak"
17,"Song by an artist who also acts"
18,"Song by an artist who started on YouTube/SoundCloud/TikTok"
19,"Song by a fictional band or fictional artist"
20,"Song by an artist with a color in their name"
21,"Song by an artist with an animal in their name"
22,"Song by an artist with a number in their name"
23,"Song by an artist whose name starts with The"
24,"Song by an artist who changed their name"
25,"Song by an artist who has won a Grammy"
26,"Song by an artist who has never won a Grammy"
27,"Song by an artist with fewer than 100k monthly listeners"
28,"Song by an artist with more than 50 million monthly listeners"
29,"Song by a band that broke up"
30,"Song by a band that reunited"
31,"Country song"
32,"Reggaeton song"
33,"Salsa song"
34,"Merengue song"
35,"Bachata song"
36,"Cumbia song"
37,"Afrobeats song"
38,"Amapiano song"
39,"K-pop song"
40,"J-pop song"
41,"Hyperpop song"
42,"Ska song"
43,"Punk song"
44,"Emo song"
45,"Metal song"
46,"Jazz song"
47,"Blues song"
48,"Gospel song"
49,"Disco song"
50,"Funk song"
51,"Folk song"
52,"Bluegrass song"
53,"House song"
54,"Techno song"
55,"Drum and bass song"
56,"Dubstep song"
57,"Ambient song"
58,"Classical piece"
59,"Opera song"
60,"Shoegaze song"
61,"Grunge song"
62,"New wave song"
63,"Synth-pop song"
64,"Psychedelic rock song"
65,"Yacht rock song"
66,"Motown song"
67,"Doo-wop song"
68,"Industrial song"
69,"Trap song"
70,"Boom bap rap song"
71,"Song from the 1950s"
72,"Song from the 1960s"
73,"Song from the 1970s"
74,"Song from the 1980s"
75,"Song from the 1990s"
76,"Song from the 2000s"
77,"Song from the 2010s"
78,"Song from the 2020s"
79,"Song released the year you were born"
80,"Song released before you were born"
81,"Song released this year"
82,"Song older than your parents"
83,"Song from a debut album"
84,"Song from an artist’s final album"
85,"Song from an artist’s comeback era"
86,"Song from a live album"
87,"Song from a deluxe edition"
88,"Song from a greatest hits album"
89,"Song from a soundtrack"
90,"Song from a musical"
91,"Song with a key change"
92,"Song with a beat switch"
93,"Song with a long instrumental intro"
94,"Song with no drums"
95,"Song with no vocals"
96,"Song with spoken-word sections"
97,"Song with a choir"
98,"Song with a children’s choir"
99,"Song with whistling"
100,"Song with handclaps"
101,"Song with prominent horns"
102,"Song with prominent strings"
103,"Song with steel drums"
104,"Song with accordion"
105,"Song with harmonica"
106,"Song with saxophone solo"
107,"Song with guitar solo"
108,"Song with a bassline that carries the song"
109,"Song with a fade-out ending"
110,"Song with an abrupt ending"
111,"Song longer than 7 minutes"
112,"Song under 2 minutes"
113,"Song with a one-word title"
114,"Song with a title longer than 8 words"
115,"Song with parentheses in the title"
116,"Song with a question mark in the title"
117,"Song with a number in the title"
118,"Song with a person’s name in the title"
119,"Song with a place in the title"
120,"Song with a day of the week in the title"
121,"Song about friendship"
122,"Song about betrayal"
123,"Song about a breakup"
124,"Song about getting back together"
125,"Song about money"
126,"Song about dancing"
127,"Song about drinking"
128,"Song about being tired"
129,"Song about aging"
130,"Song about childhood"
131,"Song about a city"
132,"Song about a specific state or country"
133,"Song about driving"
134,"Song about the beach"
135,"Song about outer space"
136,"Song about dreams"
137,"Song about ghosts"
138,"Song about revenge"
139,"Song about being famous"
140,"Song about work"
141,"Song about a party ending"
142,"Song about summer"
143,"Song about winter"
144,"Song that mentions wine"
145,"Song that mentions vinyl, records, DJs, or radio"
146,"Song with religious imagery"
147,"Song with a murder ballad vibe"
148,"Song that sounds romantic but is actually sad"
149,"Song that sounds happy but has dark lyrics"
150,"Song with lyrics you would never say out loud"
151,"Song recommended by someone older than you"
152,"Song recommended by someone younger than you"
153,"Song you found through a movie"
154,"Song you found through a TV show"
155,"Song you found through a video game"
156,"Song you found from a sample"
157,"Song where you prefer the cover to the original"
158,"Song where you prefer the original to the cover"
159,"Song that samples another famous song"
160,"Song that was sampled by another famous song"
161,"Song you thought you hated but now like"
162,"Song by an artist you usually avoid"
163,"Song from a genre you rarely listen to"
164,"Song from a country you’ve never visited"
165,"Song with fewer than 1 million streams"
166,"Song with over 1 billion streams"
167,"Song that your parents might know"
168,"Song that would confuse your parents"
169,"Song you’d play at a wedding"
170,"Song you’d play at a funeral"
171,"Song you’d play walking into a boxing match"
172,"Song you’d play during a villain arc"
173,"Song you’d play for aliens to explain Earth"
174,"Song you’d use to convince someone an artist is good"
175,"Song you’d be embarrassed to get caught enjoying"
